おはよう,ohayoo (Good morning)
おはようございます,Ohayoo gozaimasu (Good morning - polite)
こんにちは,konnichiwa (Good afternoon/Hello)
こんばんは,konbanwa (Good evening)
さようなら,sayoonara (Goodbye)
じゃあ、また,"jaa, mata (See you later)"
またあした,mata ashita (See you tomorrow)
しつれいします,shitsurei shimasu (Excuse me for interrupting/Excuse me for leaving)
おやすみなさい,oyasuminasai (Good night)
ありがとう,arigatoo (Thank you)
ありがとうございます,arigatoo gozaimasu (Thank you - polite)
すみません,sumimasen (Excuse me/I'm sorry)
いいえ,iie (No/It's nothing)
いってきます,ittekimasu (I'll go and come back)
いってらっしゃい,itterasshai (Please go and come back)
ただいま,tadaima (I'm home)
おかえりなさい,okaerinasai (Welcome back)
いただきます,itadakimasu (Thank you for the meal - before eating)
ごちそうさま,gochisoosama (Thank you for the meal - after eating)
はじめまして,hajimemashite (Nice to meet you)
よろしくおねがいします,yoroshiku onegaishimasu (Please take care of me)
